구분,스키마,질문,Google translate,변경한 질문,답변,TABLE,sql 모델 추론,결과개수,쿼리결과개수,결과데이터,쿼리 결과,추론 재실행,오류여부,검수자,오류내용
테이블 1개,university_learning,"CCC수업을 듣는 학생의 성별, 나이, 지역을 알고싶어","I want to know the gender, age, and region of students taking 'CCC' classes.",,"SELECT gender, age_band, region FROM studentinfo WHERE code_module = 'CCC';","CREATE TABLE studentinfo (code_module varchar(45) NOT NULL -- 'an identification code for a module on which the student is registered.', code_presentation varchar(45) NOT NULL -- 'an identification code for a module on which the student is registered.an identification code for a module on which the student is registered.an identification code for a module on which the student is registered.an identification code for a module on which the student is registered.the identification code of the presentation during which the student is registered on the module.', id_student int NOT NULL -- 'a unique identification number for the student.', gender varchar(3) -- 'the student’s gender.', region varchar(45) -- 'identifies the geographic region, where the student lived while taking the module-presentation.', highest_education varchar(45) -- 'highest student education level on entry to the module presentation.', imd_band varchar(16) -- 'specifies the Index of Multiple Depravation band of the place where the student lived during the module-presentation.', age_band varchar(16) -- 'band of the student’s age.', num_of_prev_attempts int -- 'the number times the student has attempted this module.', studied_credits int -- 'the total number of credits for the modules the student is currently studying.', disability varchar(3) -- 'indicates whether the student has declared a disability.', final_result varchar(45) -- 'student’s final result in the module-presentation.', PRIMARY KEY (id_student), KEY studentinfo_ibfk_1 (code_module), KEY studentinfo_ibfk_2 (code_presentation), CONSTRAINT studentinfo_ibfk_1 FOREIGN KEY (code_module) REFERENCES courses (code_module), CONSTRAINT studentinfo_ibfk_2 FOREIGN KEY (code_presentation) REFERENCES courses (code_presentation)) ;",,1343,,"F	0-35	West Midlands Region
M	0-35	East Anglian Region
M	0-35	East Anglian Region
M	35-55	North Region
M	35-55	Ireland
M	35-55	Scotland
M	0-35	Yorkshire Region
M	35-55	East Anglian Region
M	0-35	Ireland
M	35-55	West Midlands Region
F	0-35	London Region
M	0-35	South West Region
F	0-35	East Anglian Region
M	0-35	East Anglian Region
M	0-35	West Midlands Region
M	0-35	Scotland
F	0-35	Ireland
M	0-35	South West Region
F	0-35	Yorkshire Region
M	0-35	Yorkshire Region
M	35-55	Scotland
M	0-35	Scotland
M	0-35	Scotland
M	0-35	South West Region
M	0-35	East Midlands Region
F	35-55	South West Region
M	0-35	Scotland
M	0-35	South Region
M	0-35	West Midlands Region
F	0-35	West Midlands Region
M	35-55	West Midlands Region
M	0-35	London Region
F	0-35	Wales
M	35-55	North Region
M	35-55	West Midlands Region
F	0-35	East Midlands Region
M	0-35	North Region
M	35-55	North Western Region
M	35-55	West Midlands Region
M	35-55	Scotland
M	0-35	East Midlands Region
F	0-35	Scotland
M	0-35	West Midlands Region
M	0-35	Scotland
M	35-55	London Region
M	0-35	London Region
M	0-35	Ireland
M	0-35	East Midlands Region
M	35-55	North Region
M	35-55	East Anglian Region
M	35-55	London Region
M	0-35	Scotland
F	0-35	Scotland
M	35-55	East Anglian Region
M	0-35	West Midlands Region
M	0-35	Wales
M	0-35	London Region
F	0-35	Scotland
F	35-55	North Western Region
F	35-55	London Region
M	35-55	East Midlands Region
M	0-35	South West Region
F	0-35	East Midlands Region
M	35-55	Scotland
M	0-35	West Midlands Region
M	0-35	London Region
M	0-35	London Region
M	35-55	Scotland
M	0-35	South West Region
M	0-35	East Midlands Region
F	35-55	London Region
M	0-35	Yorkshire Region
M	0-35	Yorkshire Region
M	35-55	West Midlands Region
M	35-55	West Midlands Region
F	0-35	West Midlands Region
F	35-55	East Anglian Region
F	35-55	South Region
M	0-35	North Western Region
M	35-55	North Western Region
M	0-35	North Region
F	0-35	Yorkshire Region
M	35-55	East Anglian Region
M	35-55	West Midlands Region
F	0-35	Scotland
M	0-35	Scotland
F	0-35	South Region
M	35-55	North Western Region
M	35-55	London Region
M	35-55	East Midlands Region
F	0-35	East Anglian Region
M	35-55	Scotland
F	0-35	South East Region
M	0-35	East Midlands Region
M	35-55	Scotland
F	35-55	South West Region
F	0-35	South Region
M	0-35	Scotland
M	0-35	South East Region
M	0-35	North Region
F	35-55	Scotland
M	0-35	North Western Region
M	35-55	North Region
M	0-35	Ireland
F	35-55	South Region
F	0-35	South Region
M	0-35	West Midlands Region
M	0-35	Scotland
F	0-35	North Western Region
M	35-55	Scotland
F	0-35	Wales
M	0-35	Wales
M	0-35	London Region
M	35-55	Scotland
M	35-55	North Western Region
M	0-35	East Anglian Region
M	0-35	South Region
M	35-55	London Region
M	0-35	East Anglian Region
M	35-55	North Western Region
M	0-35	South West Region
M	0-35	London Region
F	35-55	Yorkshire Region
F	35-55	South Region
M	0-35	West Midlands Region
M	35-55	South East Region
M	0-35	East Midlands Region
M	0-35	London Region
M	0-35	North Region
F	0-35	Scotland
M	0-35	East Midlands Region
M	0-35	London Region
M	35-55	East Anglian Region
M	0-35	Scotland
M	0-35	West Midlands Region
M	0-35	East Midlands Region
M	35-55	Ireland
M	35-55	South Region
M	0-35	Scotland
M	35-55	Wales
M	0-35	South West Region
M	35-55	Scotland
M	0-35	East Midlands Region
M	0-35	West Midlands Region
M	0-35	East Anglian Region
M	0-35	East Anglian Region
M	0-35	East Midlands Region
M	35-55	Scotland
F	0-35	South West Region
M	0-35	South East Region
F	35-55	Yorkshire Region
M	0-35	North Western Region
F	0-35	East Anglian Region
M	0-35	Scotland
M	0-35	West Midlands Region
M	0-35	East Midlands Region
M	35-55	South Region
M	0-35	Scotland
F	0-35	East Anglian Region
M	0-35	London Region
M	0-35	East Anglian Region
M	0-35	Yorkshire Region
F	0-35	Yorkshire Region
M	35-55	South West Region
M	0-35	London Region
M	0-35	East Anglian Region
M	0-35	Yorkshire Region
M	35-55	North Western Region
F	0-35	South West Region
M	0-35	London Region
F	35-55	East Anglian Region
M	35-55	North Western Region
M	35-55	Scotland
F	35-55	London Region
M	35-55	South East Region
M	0-35	Wales
F	0-35	Yorkshire Region
M	0-35	East Midlands Region
M	0-35	Ireland
M	35-55	Wales
M	0-35	North Western Region
M	35-55	London Region
M	35-55	Ireland
M	35-55	London Region
M	0-35	Yorkshire Region
M	35-55	Yorkshire Region
M	0-35	South East Region
M	0-35	London Region
F	0-35	Wales
M	0-35	London Region
M	0-35	East Midlands Region
M	0-35	East Midlands Region
F	35-55	South Region
M	0-35	South Region
M	0-35	East Midlands Region
M	0-35	North Western Region
M	0-35	South West Region
M	0-35	East Anglian Region
M	0-35	Scotland
M	0-35	West Midlands Region
M	0-35	Scotland
M	0-35	West Midlands Region
F	35-55	London Region
M	0-35	South Region
F	35-55	Scotland
M	0-35	Ireland
M	0-35	South West Region
F	0-35	South East Region
F	0-35	South Region
M	0-35	East Midlands Region
M	0-35	North Region
M	0-35	North Western Region
M	35-55	West Midlands Region
M	0-35	North Western Region
M	35-55	London Region
F	0-35	Yorkshire Region
M	0-35	North Region
M	0-35	London Region
F	0-35	South West Region
M	0-35	West Midlands Region
M	35-55	North Region
M	0-35	North Region
M	0-35	East Midlands Region
M	0-35	West Midlands Region
F	0-35	South East Region
M	35-55	North Western Region
F	0-35	East Midlands Region
M	0-35	Scotland
M	35-55	Yorkshire Region
M	35-55	Wales
M	0-35	East Midlands Region
M	35-55	North Region
M	0-35	Scotland
M	0-35	East Anglian Region
M	0-35	North Region
F	0-35	Wales
M	0-35	Scotland
M	0-35	North Western Region
M	35-55	Scotland
M	0-35	South East Region
M	0-35	London Region
F	0-35	London Region
M	0-35	South West Region
F	0-35	North Region
M	0-35	Scotland
F	35-55	Scotland
M	0-35	East Midlands Region
M	0-35	West Midlands Region
M	35-55	North Western Region
M	0-35	London Region
F	35-55	Wales
M	35-55	North Western Region
M	0-35	Scotland
M	0-35	West Midlands Region
M	35-55	South West Region
F	0-35	South West Region
M	35-55	South West Region
M	0-35	East Anglian Region
F	0-35	East Anglian Region
F	0-35	South West Region
F	0-35	Yorkshire Region
