,prompt,chosen,rejected
0,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
실버캐슬의 시설 주소는 어디야

### context:
CREATE TABLE fclt_open_info_g_c (  GC_WELFARE_FCLT_NM varchar(26) DEFAULT NULL,  GC_WELFARE_FCLT_CD varchar(11) DEFAULT NULL,  GC_WELFARE_FCLT_KIND_NM varchar(28) DEFAULT NULL,  FCLT_KIND_DTL_NM varchar(16) DEFAULT NULL,  GC_WELFARE_JRSD_SGG_CD bigint DEFAULT NULL,  FCLT_ADDR varchar(59) DEFAULT NULL) ;

### Response:
",SELECT FCLT_ADDR FROM FCLT_OPEN_INFO_G_C WHERE GC_WELFARE_FCLT_NM = '실버캐슬',SELECT FCLT_ADDR FROM FCLT_OPEN_INFO_G_C WHERE GC_WELFARE_FCLT_NM = '실버캐슬'
1,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
야간 연장 또는 시간제 보육 서비스를 제공하는 어린이집의 정원과 현원은 얼마야

### context:
CREATE TABLE child_care_info_j_g (  SIGUNNAME varchar(7) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(26) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  ZIPCODE bigint DEFAULT NULL,  CRADDR varchar(50) DEFAULT NULL,  CRTELNO varchar(17) DEFAULT NULL,  CRHOME varchar(40) DEFAULT NULL,  NRTRROOMCNT varchar(7) DEFAULT NULL,  NRTRROOMSIZE bigint DEFAULT NULL,  CCTVINSTLCNT varchar(7) DEFAULT NULL,  CHCRTESCNT varchar(7) DEFAULT NULL,  CRCAPAT varchar(8) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LA bigint DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRPAUSEBEGINDT varchar(19) DEFAULT NULL,  CRPAUSEENDDT varchar(19) DEFAULT NULL,  DATASTDRDT varchar(19) DEFAULT NULL,  CRSPEC varchar(22) DEFAULT NULL,  CLASS_CNT_01 varchar(6) DEFAULT NULL,  CLASS_CNT_03 varchar(6) DEFAULT NULL,  CLASS_CNT_05 varchar(6) DEFAULT NULL,  CLASS_CNT_M2 varchar(6) DEFAULT NULL,  CLASS_CNT_M5 varchar(6) DEFAULT NULL,  CLASS_CNT_SP varchar(6) DEFAULT NULL,  CLASS_CNT_TOT varchar(7) DEFAULT NULL,  CHILD_CNT_00 varchar(6) DEFAULT NULL,  CHILD_CNT_02 varchar(7) DEFAULT NULL,  CHILD_CNT_03 varchar(7) DEFAULT NULL,  CHILD_CNT_04 varchar(7) DEFAULT NULL,  CHILD_CNT_05 varchar(7) DEFAULT NULL) ;

### Response:
","SELECT CRCAPAT, CRCHCNT FROM CHILD_CARE_INFO_J_G WHERE CRSPEC = '야간연장' OR CRSPEC LIKE '%시간제보육'","SELECT CRCAPAT, CRCHCNT FROM CHILD_CARE_INFO_J_G WHERE CRNAME LIKE '%연장%' OR CRNAME LIKE '%시간제%'"
2,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
복리후생에 4대보험이 포함되는 상용직 채용 공고의 조회 수를 등록일이 오래된 순부터 보여줘

### context:
CREATE TABLE tb_vmc_recruit (  NUM bigint DEFAULT NULL,  W_NO bigint DEFAULT NULL,  LANG_CD varchar(7) DEFAULT NULL,  DISPLAY varchar(6) DEFAULT NULL,  SUBJECT varchar(212) DEFAULT NULL,  STATE_CD varchar(6) DEFAULT NULL,  COMPANY_NO varchar(34) DEFAULT NULL,  NATION_CD varchar(36) DEFAULT NULL,  WORKAREA_CD varchar(236) DEFAULT NULL,  WORKDAY_CD varchar(10) DEFAULT NULL,  WORKHOURS_ST varchar(10) DEFAULT NULL,  WORKHOURS_ED varchar(10) DEFAULT NULL,  EMPFORM_CD varchar(13) DEFAULT NULL,  WEEKENDWORK_CD varchar(15) DEFAULT NULL,  WORKPAY varchar(122) DEFAULT NULL,  WORKMEN varchar(75) DEFAULT NULL,  WORKSERVICE varchar(253) DEFAULT NULL,  WORKSUBWAY varchar(265) DEFAULT NULL,  NATION varchar(123) DEFAULT NULL,  WORKPATTERN varchar(1495) DEFAULT NULL,  WORKAREA varchar(149) DEFAULT NULL,  WORKTIME varchar(156) DEFAULT NULL,  CONTENTS blob,  AFILE1 varchar(87) DEFAULT NULL,  AFILE1_ORG varchar(51) DEFAULT NULL,  AFILE2 varchar(22) DEFAULT NULL,  AFILE2_ORG varchar(33) DEFAULT NULL,  HIT varchar(9) DEFAULT NULL,  WDATE varchar(19) DEFAULT NULL,  TA_DATE varchar(19) DEFAULT NULL,  MB_NAME varchar(16) DEFAULT NULL,  APPLY_OPEN varchar(6) DEFAULT NULL,  TR_LANGS varchar(34) DEFAULT NULL,  IS_NOTICE_TEXT varchar(6) DEFAULT NULL,  IS_CHARGED_CONTENT_COPYRIGHT varchar(6) DEFAULT NULL) ;

### Response:
",SELECT HIT FROM TB_VMC_RECRUIT WHERE WORKSERVICE LIKE '%4대보험%' AND WORKPATTERN = '상용직' ORDER BY WDATE,SELECT HIT FROM TB_VMC_RECRUIT WHERE SUBJECT LIKE '%복리후생%' AND EMPFORM_CD = '04' ORDER BY WDATE DESC
3,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
고유번호가 411번인 역명을 중복 없이 알려줘

### context:
CREATE TABLE subway_tour_info (  NO varchar(8) DEFAULT NULL,  LINE varchar(7) DEFAULT NULL,  LINE_NAME varchar(8) DEFAULT NULL,  STATION varchar(14) DEFAULT NULL,  STATION_IMAGE varchar(133) DEFAULT NULL,  COURSE1 varchar(11) DEFAULT NULL,  COURSE2 varchar(11) DEFAULT NULL,  ELEVATER varchar(82) DEFAULT NULL,  ELEVATER_TXT varchar(349) DEFAULT NULL,  STATION_IMAGE2 varchar(143) DEFAULT NULL,  USEYN varchar(6) DEFAULT NULL,  ICON_PATH varchar(1043) DEFAULT NULL,  EXIT_INFO varchar(543) DEFAULT NULL,  TELNO_INFO varchar(31) DEFAULT NULL,  TIME_INFO1 varchar(23) DEFAULT NULL,  TIME_INFO2 varchar(23) DEFAULT NULL,  TIME_INFO3 varchar(23) DEFAULT NULL,  TIME_INFO4 varchar(23) DEFAULT NULL) ;

### Response:
",SELECT DISTINCT STATION FROM SUBWAY_TOUR_INFO WHERE NO = '411',SELECT DISTINCT STATION FROM SUBWAY_TOUR_INFO WHERE NO = '411'
4,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
2022년의 한국어 상담 실적을 중복 없이 보여줘

### context:
CREATE TABLE global_job_counsel_lng_type_rst (  YYYYMM varchar(19) DEFAULT NULL,  CATEGORY_NM varchar(9) DEFAULT NULL,  TYPE0 bigint DEFAULT NULL,  TYPE1 bigint DEFAULT NULL,  TYPE2 bigint DEFAULT NULL,  TYPE4 bigint DEFAULT NULL,  TYPE5 bigint DEFAULT NULL,  TYPE6 bigint DEFAULT NULL,  TYPE7 bigint DEFAULT NULL,  TYPE8 bigint DEFAULT NULL,  TYPE9 bigint DEFAULT NULL,  TYPE10 bigint DEFAULT NULL,  TYPE11 bigint DEFAULT NULL,  TYPE12 bigint DEFAULT NULL,  TYPE13 bigint DEFAULT NULL,  TYPE14 bigint DEFAULT NULL,  TYPE15 bigint DEFAULT NULL,  TYPE_SUM bigint DEFAULT NULL) ;

### Response:
",SELECT DISTINCT TYPE0 FROM GLOBAL_JOB_COUNSEL_LNG_TYPE_RST WHERE YYYYMM LIKE '2022%',SELECT DISTINCT CATEGORY_NM FROM GLOBAL_JOB_COUNSEL_LNG_TYPE_RST WHERE YYYYMM LIKE '2022%'
5,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
2021년에 작성된 정보의 담당 센터를 알려줘

### context:
CREATE TABLE job_counsel (  BOARD_ID varchar(200) DEFAULT NULL,  CENTERNAME varchar(16) DEFAULT NULL,  TITLE varchar(55) DEFAULT NULL,  KOR_NAME varchar(16) DEFAULT NULL,  CREATE_DATE varchar(19) DEFAULT NULL,  READ_CNT bigint DEFAULT NULL) ;

### Response:
",SELECT DISTINCT CENTERNAME FROM JOB_COUNSEL WHERE CREATE_DATE LIKE '2021%',SELECT CENTERNAME FROM JOB_COUNSEL WHERE CREATE_DATE LIKE '2021%'
6,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
장애인 관광음식점 중에서 시설 이름이 2글자인 곳의 주소를 알려줘

### context:
CREATE TABLE tourist_food_info (  SEQ bigint DEFAULT NULL,  SISULNAME varchar(27) DEFAULT NULL,  GU varchar(9) DEFAULT NULL,  ADDR varchar(25) DEFAULT NULL,  TEL varchar(18) DEFAULT NULL,  HOMEPAGE varchar(100) DEFAULT NULL,  HIT varchar(7) DEFAULT NULL,  ST1 varchar(6) DEFAULT NULL,  ST2 varchar(6) DEFAULT NULL,  ST3 varchar(6) DEFAULT NULL,  ST4 varchar(6) DEFAULT NULL,  ST5 varchar(6) DEFAULT NULL,  ST6 varchar(6) DEFAULT NULL,  ST7 varchar(6) DEFAULT NULL,  ST9 varchar(6) DEFAULT NULL,  ST10 varchar(6) DEFAULT NULL,  ST11 varchar(6) DEFAULT NULL,  ST12 varchar(6) DEFAULT NULL) ;

### Response:
",SELECT ADDR FROM TOURIST_FOOD_INFO WHERE SISULNAME LIKE '__',SELECT ADDR FROM TOURIST_FOOD_INFO WHERE SISULNAME LIKE '____'
7,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
강북구 사회복지시설 목록에서 이름에 사랑이 포함되는 시설명을 찾아줘

### context:
CREATE TABLE fclt_open_info_g_b (  FCLT_NM varchar(31) DEFAULT NULL,  GB_WELFARE_FCLT_CD varchar(11) DEFAULT NULL,  FCLT_KIND_NM varchar(25) DEFAULT NULL,  FCLT_KIND_DTL_NM varchar(16) DEFAULT NULL,  GB_WELFARE_JRSD_SGG_SE varchar(8) DEFAULT NULL,  GB_WELFARE_RPRSNTV varchar(8) DEFAULT NULL,  JRSD_SGG_NM varchar(8) DEFAULT NULL,  FCLT_ADDR varchar(65) DEFAULT NULL) ;

### Response:
",SELECT FCLT_NM FROM FCLT_OPEN_INFO_G_B WHERE FCLT_NM LIKE '%사랑%',SELECT FCLT_NM FROM FCLT_OPEN_INFO_G_B WHERE FCLT_NM LIKE '%사랑%'
8,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
CCTV 총 설치 수가 27개인 어린이집 이름을 알려줘

### context:
CREATE TABLE child_care_info_s_c (  SIGUNNAME varchar(8) DEFAULT NULL,  STCODE bigint DEFAULT NULL,  CRNAME varchar(24) DEFAULT NULL,  CRTYPENAME varchar(11) DEFAULT NULL,  CRSTATUSNAME varchar(7) DEFAULT NULL,  CRADDR varchar(55) DEFAULT NULL,  CRFAXNO varchar(18) DEFAULT NULL,  CRHOME varchar(87) DEFAULT NULL,  NRTRROOMCNT varchar(7) DEFAULT NULL,  NRTRROOMSIZE varchar(9) DEFAULT NULL,  PLGRDCO varchar(6) DEFAULT NULL,  CCTVINSTLCNT varchar(7) DEFAULT NULL,  CHCRTESCNT varchar(7) DEFAULT NULL,  CRCHCNT varchar(8) DEFAULT NULL,  LO bigint DEFAULT NULL,  CRCARGBNAME varchar(8) DEFAULT NULL,  CRCNFMDT varchar(19) DEFAULT NULL,  CRPAUSEBEGINDT varchar(200) DEFAULT NULL,  CRPAUSEENDDT varchar(200) DEFAULT NULL,  CRABLDT varchar(19) DEFAULT NULL,  CRSPEC varchar(16) DEFAULT NULL,  CLASS_CNT_00 varchar(6) DEFAULT NULL,  CLASS_CNT_01 varchar(7) DEFAULT NULL,  CLASS_CNT_04 varchar(6) DEFAULT NULL,  CLASS_CNT_M2 varchar(6) DEFAULT NULL,  CLASS_CNT_M5 varchar(6) DEFAULT NULL,  CLASS_CNT_SP varchar(6) DEFAULT NULL,  CLASS_CNT_TOT varchar(7) DEFAULT NULL,  CHILD_CNT_01 varchar(7) DEFAULT NULL,  CHILD_CNT_02 varchar(7) DEFAULT NULL,  CHILD_CNT_03 varchar(7) DEFAULT NULL,  CHILD_CNT_M2 varchar(7) DEFAULT NULL) ;

### Response:
",SELECT CRNAME FROM CHILD_CARE_INFO_S_C WHERE CCTVINSTLCNT = '27',SELECT CRNAME FROM CHILD_CARE_INFO_S_C WHERE CCTVINSTLCNT = '27'
9,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
- Generate a SQL query to answer.
- Create a query with the table information in the context.

### Input:
자치구명이 구로구이고 우편번호가 08268인 곳의 야외 시설명이 뭐야

### context:
CREATE TABLE tn_fclty_sttus_info10071 (  CLTUR_EVENT_ETC_NM varchar(44) DEFAULT NULL,  SVC_CL_CODE bigint DEFAULT NULL,  SVC_CL_NM varchar(9) DEFAULT NULL,  ATDRC_CODE bigint DEFAULT NULL,  ATDRC_NM varchar(9) DEFAULT NULL,  AGE_SE_CODE bigint DEFAULT NULL,  AGE_SE_NM varchar(9) DEFAULT NULL,  FCLTY_CL_CODE bigint DEFAULT NULL,  FCLTY_CL_NM varchar(10) DEFAULT NULL,  X_CRDNT_VALUE bigint DEFAULT NULL,  Y_CRDNT_VALUE bigint DEFAULT NULL,  ZIP varchar(11) DEFAULT NULL,  BASS_ADRES varchar(49) DEFAULT NULL,  DETAIL_ADRES varchar(59) DEFAULT NULL,  RNTFEE_FREE_AT varchar(6) DEFAULT NULL,  RNTFEE varchar(10) DEFAULT NULL,  GUIDANCE_URL varchar(190) DEFAULT NULL,  REGIST_DT varchar(19) DEFAULT NULL,  UPDT_DT varchar(19) DEFAULT NULL) ;

### Response:
",SELECT CLTUR_EVENT_ETC_NM FROM TN_FCLTY_STTUS_INFO10071 WHERE ATDRC_NM = '구로구' AND ZIP = '08268',SELECT CLTUR_EVENT_ETC_NM FROM TN_FCLTY_STTUS_INFO10071 WHERE ATDRC_NM = '구로구' AND ZIP = '08268'
